Value Set,Change,Code System,Code,Revised
"Outpatient, ED and Telehealth",Added,CPT,98005,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98006,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98007,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98008,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98009,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98010,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98011,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98012,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98013,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98014,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98015,2025-03-31
"Outpatient, ED and Telehealth",Added,CPT,98016,2025-03-31
"Outpatient, ED and Telehealth",Deleted,CPT,99241,
"Outpatient, ED and Telehealth",Deleted,CPT,99343,
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98000,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98001,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98002,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98003,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98004,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98005,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98006,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Added,CPT,98007,2025-03-31
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Deleted,CPT,99241,
"Outpatient, ED, Acute Inpatient and Nonacute Inpatient",Deleted,CPT,99343,
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98000,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98001,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98002,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98003,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98004,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98005,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98006,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98007,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98008,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98009,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98010,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98011,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98012,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98013,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98014,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98015,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Added,CPT,98016,2025-03-31
"Outpatient, ED, Telehealth and Nonacute Inpatient",Deleted,CPT,99241,
"Outpatient, ED, Telehealth and Nonacute Inpatient",Deleted,CPT,99343,
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98000,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98001,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98002,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98003,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98004,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98005,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98006,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98007,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98008,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98009,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98010,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98011,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98012,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98013,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98014,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Added,CPT,98015,2025-03-31
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Deleted,CPT,99241,
"Outpatient, ED, Telephone, Acute Inpatient and Nonacute Inpatient",Deleted,CPT,99343,
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98000,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98001,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98002,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98003,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98004,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98005,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98006,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98007,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98008,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98009,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98010,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98011,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98012,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98013,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98014,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98015,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Added,CPT,98016,2025-03-31
"Outpatient, Telehealth and Acute Inpatient",Deleted,CPT,99241,
"Outpatient, Telehealth and Acute Inpatient",Deleted,CPT,99343,
Palliative Care Encounter,Deleted,HCPCS,M1017,
Partial Nephrectomy,Added,SNOMED CT US Edition,48994000,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,58367002,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,85250002,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,88994001,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,149579003,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,149581001,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,149584009,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,175909009,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,175910004,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,175919003,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,175920009,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,287729007,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,289754003,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,290691008,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,699719001,2025-03-31
Partial Nephrectomy,Added,SNOMED CT US Edition,699720007,2025-03-31
PCI,Deleted,SNOMED CT US Edition,448652001,
Peer Support Services,Added,HCPCS,G0140,
Peer Support Services,Added,HCPCS,T1017,2025-03-31
Pervasive Developmental Disorder,Deleted,SNOMED CT US Edition,408856003,
Pharyngitis,Added,SNOMED CT US Edition,1296672005,
Pneumococcal Conjugate Vaccine Procedure,Added,SNOMED CT US Edition,1296904008,
Pregnancy,Added,SNOMED CT US Edition,71119005,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,199248002,
Pregnancy,Added,SNOMED CT US Edition,200413003,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,396343006,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,397774002,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,472699005,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,710944000,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,719844007,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1287713006,
Pregnancy,Added,SNOMED CT US Edition,1290152008,
Pregnancy,Added,SNOMED CT US Edition,1290936006,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1290937002,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1296685008,
Pregnancy,Added,SNOMED CT US Edition,1300203003,2025-03-31
Pregnancy,Added,SNOMED CT US Edition,1303255001,2025-03-31
